,final_vcpu,final_ram,final_volume
0,45,68,450
1,46,72,560
2,45,134,840
3,42,66,720
4,49,138,570
5,32,93,390
6,42,117,820
7,50,155,700
8,43,104,550
9,35,166,490
10,52,161,450
11,42,65,700
12,46,155,840
13,59,79,630
14,35,123,420
15,50,82,790
16,6,48,410
17,41,161,490
18,41,180,450
19,19,70,580
20,60,77,450
21,59,70,500
22,60,90,560
23,20,107,390
24,40,146,790
25,41,155,490
26,52,67,580
27,31,91,320
28,57,123,790
29,55,115,800
30,15,46,160
31,36,152,580
32,55,125,560
33,38,163,840
34,50,106,820
35,35,141,860
36,35,78,370
37,41,116,620
38,34,103,390
39,46,124,640
40,45,138,640
41,33,174,750
42,57,103,850
43,42,64,700
44,55,119,350
45,33,152,870
46,19,100,280
47,43,133,490
48,45,151,730
49,60,84,690
50,19,108,470
51,37,145,520
52,42,91,810
53,58,113,720
54,33,170,720
55,36,88,380
56,55,81,900
57,56,137,620
58,56,109,350
59,56,144,810
60,54,108,640
61,30,65,380
62,43,119,780
63,37,98,430
64,37,120,730
65,60,165,810
66,33,180,730
67,44,95,730
68,34,110,870
69,46,119,510
70,56,113,440
71,37,91,410
72,37,107,810
73,43,64,750
74,32,106,320
75,52,110,870
76,36,177,450
77,50,119,380
78,55,118,690
79,59,121,860
80,55,103,810
81,41,104,550
82,59,139,320
83,28,103,750
84,20,65,200
85,41,68,660
86,50,79,400
87,46,93,740
88,46,173,870
89,58,168,820
90,46,104,560
91,54,77,590
92,46,169,860
93,47,105,900
94,30,76,560
95,51,119,530
96,39,138,510
97,60,139,660
98,31,81,450
99,8,22,300
100,52,94,630
101,37,147,850
102,55,108,580
103,54,172,610
104,40,128,700
105,39,113,430
106,14,47,400
107,42,171,730
108,30,98,640
109,44,81,530
110,42,86,770
111,52,105,840
112,49,75,580
113,35,103,820
114,18,97,540
115,38,165,610
116,19,62,410
117,60,125,510
118,51,61,410
119,24,81,490
120,48,141,400
121,19,62,340
122,16,105,500
123,18,58,640
124,46,106,460
125,48,155,490
126,60,164,690
127,50,119,350
128,31,124,450
129,59,71,580
130,37,78,390
131,52,151,600
132,42,128,420
133,32,95,360
134,31,173,760
135,40,160,570
136,35,169,760
137,52,92,320
138,37,171,870
139,5,36,70
140,58,128,470
141,41,61,840
142,26,62,300
143,43,119,690
144,31,84,590
145,43,139,510
146,23,78,320
147,19,110,540
148,44,96,430
149,58,134,860
150,55,157,800
151,20,74,490
152,25,82,540
153,48,157,610
154,57,102,350
155,34,69,480
156,46,130,800
157,44,170,870
158,41,92,700
159,21,96,400
160,41,150,890
161,47,119,660
162,41,150,860
163,59,148,790
164,44,127,440
165,46,62,430
166,46,82,400
167,32,149,440
168,42,93,350
169,58,155,540
170,29,60,480
171,57,88,780
172,59,77,580
173,44,93,400
174,48,163,720
175,45,167,560
176,44,73,470
177,59,134,610
178,18,106,490
179,24,61,550
180,48,87,710
181,35,114,740
182,59,120,310
183,37,149,800
184,37,73,540
185,33,132,560
186,56,72,870
187,60,115,480
188,41,119,530
189,60,129,820
190,55,71,630
191,48,98,620
192,33,141,420
193,17,55,280
194,60,132,390
195,57,146,620
196,57,114,890
197,53,71,660
198,51,160,340
199,60,87,480
200,44,63,360
201,44,86,590
202,42,147,420
203,36,99,630
204,46,82,460
205,45,171,630
206,52,91,840
207,42,61,670
208,47,101,590
209,53,123,850
210,60,107,370
211,47,115,840
212,59,140,490
213,47,135,610
214,31,105,390
215,39,108,690
216,50,154,820
217,48,124,740
218,42,87,490
219,43,177,600
220,48,151,720
221,38,89,750
222,44,111,840
223,52,148,520
224,56,123,460
225,44,106,360
226,52,169,460
227,35,169,730
228,53,151,860
229,48,106,620
230,49,107,880
231,54,168,500
232,50,134,590
233,43,70,550
234,58,169,700
235,36,95,770
236,46,109,510
237,36,146,600
238,36,97,810
239,57,134,610
240,37,128,730
241,32,147,880
242,55,113,770
243,43,91,520
244,45,108,540
245,59,119,900
246,48,125,690
247,54,101,520
248,46,98,500
249,46,154,540
250,45,133,810
251,20,119,760
252,59,175,580
253,36,74,650
254,50,156,740
255,48,114,330
256,27,106,520
257,45,109,420
258,50,99,840
259,54,82,480
260,43,133,580
261,53,91,460
262,44,168,620
263,47,104,520
264,41,86,860
265,20,80,480
266,41,89,530
267,57,93,630
268,45,79,410
269,53,123,510
270,49,116,610
271,31,162,310
272,31,94,400
273,44,146,590
274,55,148,710
275,47,70,770
276,45,103,390
277,42,112,600
278,18,63,420
279,31,160,770
280,48,79,600
281,46,137,730
282,54,137,760
283,38,130,440
284,38,140,400
285,48,114,800
286,10,33,460
287,40,167,810
288,54,157,330
289,44,99,860
290,36,99,820
291,41,106,840
292,20,106,800
293,18,39,550
294,50,67,400
295,49,110,340
296,58,150,720
297,39,149,840
298,60,113,610
299,35,133,900
300,38,111,860
301,44,77,540
302,57,137,650
303,41,104,510
304,56,112,850
305,59,114,890
306,60,103,410
307,19,103,360
308,36,130,780
309,43,139,500
310,38,105,420
311,38,78,480
312,59,109,470
313,53,65,410
314,51,63,780
315,20,58,330
316,51,84,580
317,45,70,640
318,32,71,600
319,31,92,810
320,39,129,430
321,35,101,610
322,53,139,430
323,15,101,330
324,31,169,650
325,29,103,740
326,57,132,700
327,20,86,750
328,33,154,450
329,51,131,510
330,10,31,300
331,35,161,730
332,34,111,460
333,37,166,400
334,45,96,510
335,57,157,480
336,38,81,560
337,18,72,480
338,43,64,540
339,54,179,740
340,52,84,580
341,57,61,430
342,49,144,820
343,42,103,430
344,37,155,720
345,35,97,710
346,46,165,820
347,37,137,890
348,20,87,270
349,37,115,420
350,50,104,480
351,56,139,580
352,36,115,450
