,final_vcpu,final_ram,final_volume
0,65,78,820
1,47,109,830
2,37,74,500
3,2,33,580
4,3,114,790
5,25,54,510
6,55,108,870
7,13,54,610
8,52,101,600
9,34,102,670
10,36,113,580
11,6,96,890
12,48,93,680
13,36,101,670
14,11,52,570
15,64,80,900
16,52,116,570
17,31,86,440
18,13,23,280
19,55,85,880
20,20,92,900
21,48,70,750
22,15,77,900
23,11,58,720
24,31,109,850
25,44,63,730
26,36,90,820
27,32,116,900
28,61,70,730
29,36,101,440
30,38,102,810
31,49,105,460
32,55,80,830
33,56,68,840
34,59,101,460
35,41,111,860
36,17,80,630
37,53,102,720
38,2,14,350
39,14,106,750
40,4,75,640
41,53,63,900
42,20,91,840
43,50,91,440
44,3,4,210
45,33,109,700
46,28,35,760
47,54,96,380
48,62,85,870
49,41,107,590
50,52,82,410
51,2,15,260
52,82,83,880
53,41,105,690
54,34,39,490
55,9,12,220
56,20,57,410
57,4,69,370
58,37,111,870
59,13,65,650
60,10,89,740
61,2,8,730
62,20,94,760
63,25,31,440
64,78,82,850
65,42,102,800
66,2,93,880
67,60,72,810
68,41,96,800
69,75,82,850
70,52,99,490
71,19,63,820
72,55,86,450
73,9,15,240
74,45,85,880
75,60,115,790
76,17,67,530
77,10,116,850
78,23,37,380
79,58,106,560
80,19,66,740
81,57,67,750
82,28,39,520
83,40,70,720
84,58,73,790
85,67,81,890
86,2,51,310
87,4,34,730
88,6,45,360
89,17,63,760
90,2,9,500
91,58,107,570
92,49,63,720
93,7,51,680
94,52,96,420
95,31,71,710
96,20,97,880
97,31,113,760
98,9,16,320
99,53,81,810
100,48,81,880
101,19,56,530
102,20,97,830
103,2,62,390
104,18,48,360
105,43,113,690
106,20,99,710
107,5,61,860
108,72,87,870
109,34,65,700
110,52,93,440
111,33,99,550
112,45,104,670
113,10,39,530
114,20,53,400
115,1,76,820
116,47,77,840
117,2,4,350
118,20,96,880
119,4,88,640
120,6,40,470
121,36,113,840
122,8,120,860
123,3,7,650
124,31,83,360
125,58,107,470
126,54,87,890
127,53,62,650
128,24,24,470
129,3,4,120
130,41,108,730
131,33,70,810
132,54,76,350
133,18,55,830
134,13,100,520
135,7,9,400
136,8,52,620
137,45,67,850
138,56,72,750
139,42,117,900
140,7,63,680
141,41,94,790
142,39,120,850
143,44,88,860
144,41,105,800
145,58,67,790
146,20,38,400
147,20,64,660
148,54,93,350
149,47,100,900
150,50,89,680
151,40,64,830
152,59,116,640
153,17,90,800
154,33,74,840
155,41,116,870
156,49,62,830
157,42,71,900
158,20,39,450
159,7,119,900
160,19,30,850
161,45,119,710
162,48,113,730
163,47,117,900
164,10,76,520
165,3,117,670
166,57,117,700
167,3,7,740
168,52,116,730
169,56,97,520
