,vcpu,ram,volume
0,1,1,10
1,1,1,20
2,1,1,30
3,1,1,40
4,1,1,50
5,1,1,60
6,1,1,70
7,1,1,80
8,1,1,90
9,1,1,100
10,1,1,110
11,1,1,120
12,1,1,130
13,1,1,140
14,1,1,150
15,1,1,160
16,1,1,170
17,1,1,180
18,1,1,190
19,1,1,200
20,1,1,210
21,1,1,220
22,1,1,230
23,1,1,240
24,1,1,250
25,1,1,260
26,1,1,270
27,1,1,280
28,1,1,290
29,1,1,300
30,1,1,310
31,1,1,320
32,1,1,330
33,1,1,340
34,1,1,350
35,1,1,360
36,1,1,370
37,1,1,380
38,1,1,390
39,1,1,400
40,1,1,410
41,1,1,420
42,1,1,430
43,1,1,440
44,1,1,450
45,1,1,460
46,1,1,470
47,1,1,480
48,1,1,490
49,1,1,500
50,1,1,510
51,1,1,520
52,1,1,530
53,1,1,540
54,1,1,550
55,1,1,560
56,1,1,570
57,1,1,580
58,1,1,590
59,1,1,600
60,1,1,610
61,1,1,620
62,1,1,630
63,1,1,640
64,1,1,650
65,1,1,660
66,1,1,670
67,1,1,680
68,1,1,690
69,1,1,700
70,1,1,710
71,1,1,720
72,1,1,730
73,1,1,740
74,1,1,750
75,1,1,760
76,1,1,770
77,1,1,780
78,1,1,790
79,1,1,800
80,1,1,810
81,1,1,820
82,1,1,830
83,1,1,840
84,1,1,850
85,1,1,860
86,1,1,870
87,1,1,880
88,1,1,890
89,1,1,900
90,1,2,20
91,1,2,30
92,1,2,40
93,1,2,50
94,1,2,60
95,1,2,70
96,1,2,80
97,1,2,90
98,1,2,100
99,1,2,110
100,1,2,120
101,1,2,130
102,1,2,140
103,1,2,150
104,1,2,160
105,1,2,170
106,1,2,180
107,1,2,190
108,1,2,200
109,1,2,210
110,1,2,220
111,1,2,230
112,1,2,240
113,1,2,250
114,1,2,260
115,1,2,270
116,1,2,280
117,1,2,290
118,1,2,300
119,1,2,310
120,1,2,320
121,1,2,330
122,1,2,340
123,1,2,350
124,1,2,360
125,1,2,370
126,1,2,380
127,1,2,390
128,1,2,400
129,1,2,410
130,1,2,420
131,1,2,430
132,1,2,440
133,1,2,450
134,1,2,460
135,1,2,470
136,1,2,480
137,1,2,490
138,1,2,500
139,1,2,510
140,1,2,520
141,1,2,530
142,1,2,540
143,1,2,550
144,1,2,560
145,1,2,570
146,1,2,580
147,1,2,590
148,1,2,600
149,1,2,610
150,1,2,620
151,1,2,630
152,1,2,640
153,1,2,650
154,1,2,660
155,1,2,670
156,1,2,680
157,1,2,690
158,1,2,700
159,1,2,710
160,1,2,720
161,1,2,730
162,1,2,740
163,1,2,750
164,1,2,760
165,1,2,770
166,1,2,780
167,1,2,790
168,1,2,800
169,1,2,810
170,1,2,820
171,1,2,830
172,1,2,840
173,1,2,850
174,1,2,860
175,1,2,870
176,1,2,880
177,1,2,890
178,1,2,900
179,1,3,30
180,1,3,40
181,1,3,50
182,1,3,60
183,1,3,70
184,1,3,80
185,1,3,90
186,1,3,100
187,1,3,110
188,1,3,120
189,1,3,130
190,1,3,140
191,1,3,150
192,1,3,160
193,1,3,170
194,1,3,180
195,1,3,190
196,1,3,200
197,1,3,210
198,1,3,220
199,1,3,230
200,1,3,240
201,1,3,250
202,1,3,260
203,1,3,270
204,1,3,280
205,1,3,290
206,1,3,300
207,1,3,310
208,1,3,320
209,1,3,330
210,1,3,340
211,1,3,350
212,1,3,360
213,1,3,370
214,1,3,380
215,1,3,390
216,1,3,400
217,1,3,410
218,1,3,420
219,1,3,430
220,1,3,440
221,1,3,450
222,1,3,460
223,1,3,470
224,1,3,480
225,1,3,490
226,1,3,500
227,1,3,510
228,1,3,520
229,1,3,530
230,1,3,540
231,1,3,550
232,1,3,560
233,1,3,570
234,1,3,580
235,1,3,590
