,request_vcpu,request_ram,request_volume,offer_vcpu,offer_ram,offer_volume,offer_score
0,42,61,660,42,61,660,50.00000000000001
1,8,16,160,18,36,460,43.38027475014431
2,8,16,160,18,36,450,43.43429137447693
3,8,16,160,18,36,440,43.485773193785974
4,8,16,160,18,36,430,43.53592571246725
5,8,16,160,18,36,420,43.58437845809958
6,8,16,160,18,36,410,43.63050111987144
7,8,16,160,18,36,400,43.6750835446575
8,8,16,160,18,36,390,43.718156127610754
9,8,16,160,18,36,380,43.759719181427094
10,8,16,160,18,36,370,43.86330656092572
11,8,16,160,18,36,360,44.49251898800254
12,8,16,160,18,36,350,45.16298027443207
13,8,16,160,18,35,350,45.19488757855269
14,8,16,160,18,35,340,44.84247519908011
15,8,16,160,18,34,340,44.87358377182716
16,8,16,160,17,34,340,44.935561971950165
17,8,16,160,17,34,330,44.26966556593896
18,8,16,160,17,34,320,43.58992465781671
19,8,16,160,17,34,310,43.353806500919625
20,8,16,160,17,34,300,43.38592458195634
21,8,16,160,17,33,300,43.41946875484154
22,8,16,160,17,33,290,43.48726139879367
23,8,16,160,17,33,280,43.56088425427503
24,8,16,160,16,33,280,43.231521750186815
25,8,16,160,16,32,280,42.85723215425314
26,8,16,160,16,31,280,42.904573406579644
27,8,16,160,16,30,280,42.9555368017202
28,8,16,160,16,29,280,43.01078005252649
29,8,16,160,16,28,280,43.0693177477725
30,8,16,160,16,28,270,43.20047785859247
31,8,16,160,16,27,270,43.27038466724388
32,8,16,160,16,26,270,43.346826294856754
33,8,16,160,15,26,270,42.65017320083815
34,8,16,160,15,26,260,42.827031905902494
35,8,16,160,15,25,260,42.92450273045792
36,8,16,160,15,24,260,43.02327088463737
37,8,16,160,15,23,260,43.129159399989454
38,8,16,160,14,23,260,42.66114109047896
39,8,16,160,14,22,260,42.78157604094749
40,8,16,160,13,22,260,43.038450597038015
41,8,16,160,13,21,260,43.17364400009483
42,8,16,160,12,21,260,43.479081799613404
43,8,16,160,12,21,250,43.49226687011738
44,8,16,160,12,21,240,43.54463999323094
45,8,16,160,12,21,230,43.64786780254545
46,8,16,160,12,20,230,43.87910489603172
47,8,16,160,12,19,230,44.360401494765846
48,8,16,160,11,19,230,44.873460895969934
49,8,16,160,11,19,220,45.066066824165496
50,8,16,160,11,19,210,45.29836990000733
51,8,16,160,11,19,200,45.58946309814633
52,8,16,160,11,19,190,45.97075325391782
53,8,16,160,11,19,180,46.478364070553845
54,8,16,160,11,19,170,47.140006105952864
55,8,16,160,10,19,170,47.68230205613648
56,8,16,160,10,18,170,48.28132854908099
57,8,16,160,10,17,170,48.81062743674168
58,8,16,160,10,17,160,49.2363168058652
59,8,16,160,10,16,160,49.57124007951001
