,final_vcpu,final_ram,final_volume
0,42,61,660
1,8,16,160
2,36,72,850
3,11,37,630
4,5,117,780
5,24,38,480
6,20,82,400
7,20,39,310
8,45,103,760
9,17,63,890
10,47,118,680
11,55,99,610
12,48,85,660
13,55,91,730
14,4,119,680
15,53,64,800
16,4,15,380
17,19,71,450
18,53,62,680
19,12,104,650
20,38,74,890
21,6,49,390
22,8,75,610
23,19,120,870
24,4,93,670
25,58,113,820
26,50,114,620
27,32,108,880
28,65,72,850
29,55,93,610
30,1,6,90
31,2,78,600
32,6,9,180
33,20,40,380
34,59,76,900
35,58,68,800
36,41,62,880
37,47,72,760
38,6,81,580
39,1,61,900
40,25,39,390
41,55,88,720
42,19,38,440
43,1,7,800
44,39,78,830
45,34,74,790
46,33,102,500
47,14,63,780
48,69,80,850
49,54,114,640
50,41,107,820
51,43,106,760
52,6,76,690
53,18,81,850
54,19,114,600
55,25,56,550
56,6,93,550
57,51,72,740
58,51,75,770
59,45,69,840
60,3,61,640
61,40,66,690
62,44,115,720
63,34,99,900
64,8,87,520
65,37,62,770
66,32,114,650
67,18,81,900
68,54,71,770
69,53,96,480
70,66,75,890
71,11,17,250
72,1,76,890
73,59,103,650
74,54,66,790
75,72,88,890
76,12,113,780
77,48,111,620
78,53,67,850
79,23,37,360
80,53,92,630
81,14,71,890
82,16,40,510
83,32,35,800
84,50,101,430
85,15,19,280
86,19,112,640
87,45,114,850
88,46,109,900
89,6,11,370
90,50,104,540
91,17,67,750
92,3,11,200
93,50,85,500
94,4,10,140
95,68,80,840
96,54,88,640
97,49,90,820
98,36,100,790
99,50,100,800
100,40,70,840
101,59,105,890
102,46,91,850
103,41,111,560
104,51,73,900
105,42,103,620
106,9,50,900
107,57,98,390
108,45,106,780
109,23,36,320
110,40,67,790
111,20,110,820
112,19,72,650
113,33,110,740
114,33,104,450
115,47,71,880
116,6,77,430
117,27,46,380
118,55,115,640
119,19,96,850
120,23,42,340
121,7,24,250
122,38,116,870
123,1,12,150
124,37,119,640
125,6,73,340
126,56,112,590
127,60,62,850
128,55,111,620
129,14,96,500
130,7,13,800
131,45,65,900
132,41,111,610
133,7,10,710
134,32,119,900
135,41,104,500
136,56,101,590
137,42,107,900
138,45,62,900
139,49,112,600
140,4,117,760
141,83,85,880
142,32,90,440
143,55,73,780
144,56,115,800
145,5,8,560
146,20,107,870
147,56,103,480
148,5,10,270
149,51,117,800
150,45,119,630
151,18,67,770
152,36,71,720
153,8,111,770
154,8,38,310
155,54,115,760
156,47,113,530
157,45,117,570
158,32,66,690
159,31,112,580
160,35,108,700
161,4,4,290
162,6,85,470
163,33,70,790
164,10,99,650
165,59,98,570
166,38,68,820
167,42,110,510
168,40,96,700
169,49,81,850
170,54,65,680
171,44,72,840
172,54,74,880
173,50,83,870
174,46,63,660
175,32,107,520
176,48,106,460
177,41,81,450
178,56,120,890
179,40,66,730
180,45,81,840
181,51,112,520
182,55,93,620
183,54,64,730
184,10,107,880
185,63,76,900
186,40,119,610
187,13,80,850
188,46,69,890
189,33,105,500
190,4,4,470
191,11,11,300
192,48,98,860
193,6,84,730
194,52,99,870
195,53,66,800
196,55,63,790
197,43,109,520
198,47,66,760
199,18,18,320
200,6,117,580
201,3,8,420
202,58,65,720
203,18,62,760
204,67,80,830
205,46,64,640
206,58,118,700
207,51,61,660
208,31,102,520
209,19,70,480
210,51,101,440
211,41,114,620
212,71,75,760
213,10,110,880
214,51,81,780
215,60,81,890
216,54,119,780
217,26,25,280
218,54,91,900
219,69,69,730
220,56,73,810
221,63,88,890
222,4,103,740
223,56,120,640
224,20,28,320
225,17,38,400
226,55,78,840
227,33,90,590
228,52,105,620
229,35,37,600
230,19,69,830
231,33,106,520
232,59,113,840
233,20,96,590
234,8,27,310
235,58,112,830
236,18,71,820
237,52,99,860
238,6,16,390
239,46,103,450
240,53,81,880
241,49,120,660
242,17,83,780
243,4,113,620
244,57,104,830
245,52,86,810
246,8,89,560
247,42,112,610
248,12,100,890
249,40,115,830
250,32,105,610
251,63,69,770
252,9,44,490
253,57,67,800
254,57,94,810
255,69,80,860
256,50,66,870
257,35,98,640
258,7,41,330
259,45,117,620
260,37,104,550
261,58,110,800
262,25,35,800
263,41,72,890
264,42,107,660
265,35,99,870
266,57,95,680
267,18,120,880
268,32,90,490
269,42,107,890
270,43,75,880
271,32,93,690
272,7,9,670
273,33,103,810
274,42,97,610
275,18,81,840
276,37,108,880
277,23,48,440
278,42,100,460
279,17,38,690
280,54,66,890
281,31,118,750
282,46,54,460
283,41,75,800
284,4,75,400
285,54,105,800
286,33,75,800
287,2,64,750
288,55,87,900
289,42,111,890
290,40,106,490
291,58,108,650
292,54,91,510
293,46,116,630
294,1,21,240
295,65,85,890
296,48,103,700
297,58,97,620
298,14,57,870
299,59,114,810
300,38,51,390
301,47,87,790
302,57,100,450
303,37,101,820
304,42,119,730
305,52,84,640
306,6,17,320
307,40,118,800
308,16,88,550
309,50,61,900
310,47,112,720
311,53,107,650
312,54,79,790
313,1,11,440
314,52,94,860
315,1,11,470
316,20,97,840
317,44,90,820
318,58,106,760
319,38,109,710
320,3,11,370
321,58,88,770
322,15,51,540
323,15,65,610
324,7,14,470
325,17,76,770
326,11,111,620
327,39,110,780
328,60,92,530
329,40,70,710
330,35,75,720
331,58,61,820
332,46,109,760
333,34,98,740
334,17,78,510
335,15,82,860
336,31,116,830
337,50,94,570
338,42,103,670
339,33,44,340
340,19,87,550
341,54,65,840
342,58,66,710
343,51,87,690
344,47,80,570
345,50,95,700
346,43,120,800
347,33,61,800
348,5,6,140
349,39,75,770
350,44,40,810
351,40,61,650
352,47,120,820
353,35,117,750
354,43,119,600
355,4,8,880
356,47,81,820
357,54,67,670
358,51,65,720
359,49,92,800
360,56,87,860
361,31,99,670
362,58,78,870
363,38,109,690
364,32,109,720
365,11,13,300
366,44,107,890
367,47,98,430
368,49,111,680
369,47,113,680
370,47,85,600
371,55,101,640
372,60,67,890
373,46,76,820
374,45,116,740
375,56,119,690
376,21,23,240
377,56,90,880
378,54,105,620
379,69,71,770
380,38,102,830
381,1,1,760
382,15,74,780
383,57,101,570
384,16,90,580
385,5,6,620
386,49,120,840
387,81,86,880
388,2,52,350
